K1078+860,63.545
K1078+880,63.745
K1078+900,63.95
K1078+920,64.15
K1078+940,64.35
K1078+960,64.55
K1078+980,64.74
K1079+000,64.925
K1079+020,65.08
K1079+040,65.225
K1079+060,65.34
K1079+080,65.445
K1079+100,65.525
K1079+120,65.575
K1079+140,65.625
K1079+160,65.65
K1079+180,65.645
K1079+200,65.615
K1079+220,65.58
K1079+240,65.505
K1079+260,65.435
K1079+280,65.365
K1079+300,65.285
K1079+320,65.22
K1079+340,65.145
K1079+360,65.075
K1079+380,65.01
K1079+400,64.945
K1079+420,64.885
K1079+440,64.815
K1079+460,64.735
K1079+480,64.695
K1079+500,64.625
K1079+520,64.555
K1079+540,64.49
K1079+560,64.415
K1079+580,64.35
K1079+600,64.28
K1079+620,64.21
K1079+640,64.15
K1079+660,64.095
K1079+680,64.005
K1079+700,63.955
K1079+720,63.88
K1079+740,63.81
K1079+760,63.79
K1079+780,63.77
K1079+800,63.775
K1079+820,63.81
K1079+840,63.87
K1079+860,63.94
K1079+880,64.02
K1079+900,64.14
K1079+920,64.245
K1079+940,64.365
K1079+960,64.475
K1079+980,64.595
K1080+000,64.72
K1080+020,64.84
K1080+040,64.965
K1080+060,65.08
K1080+080,65.2
K1080+100,65.33
K1080+120,65.46
K1080+140,65.59
K1080+160,65.69
K1080+180,65.83
K1080+200,65.95
K1080+220,66.06
K1080+240,66.185
K1080+260,66.295
K1080+280,66.41
K1080+300,66.535
K1080+320,66.65
K1080+340,66.755
K1080+360,66.875
K1080+380,66.99
K1080+400,67.09
K1080+420,67.225
K1080+440,67.315
K1080+460,67.395
K1080+480,67.47
K1080+500,67.51
K1080+520,67.495
K1080+540,67.495
K1080+560,67.485
K1080+580,67.43
K1080+600,67.375
K1080+620,67.295
K1080+640,67.25
K1080+660,67.16
K1080+680,67.06
K1080+700,67.01
K1080+720,66.94
K1080+740,66.865
K1080+760,66.785
K1080+780,66.74
K1080+800,66.655
K1080+820,66.565
K1080+840,66.495
K1080+860,66.43
K1080+880,66.355
K1080+900,66.28
K1080+920,66.21
K1080+940,66.14
K1080+960,66.07
K1080+980,65.97
K1080+990,65.89
K1081+000,65.835
K1081+020,65.75
K1081+040,65.68
K1081+060,65.595
K1081+080,65.53
K1081+100,65.465
K1081+120,65.4
K1081+140,65.32
K1081+160,65.25
K1081+180,65.185
K1081+200,65.105
K1081+220,65.03
K1081+240,64.97
K1081+260,64.895
K1081+280,64.815
K1081+300,64.75
K1081+320,64.665
K1081+340,64.59
K1081+360,64.53
K1081+380,64.465
K1081+400,64.38
K1081+420,64.295
K1081+440,64.185
K1081+460,64.055
K1081+480,63.9
K1081+500,63.73
K1081+520,63.55
K1081+540,63.355
K1081+560,63.11
K1081+580,62.865
K1081+600,62.62
K1081+620,62.37
K1081+640,62.14
K1081+660,61.895
K1081+680,61.655
K1081+700,61.41
K1081+720,61.17
K1081+740,60.915
K1081+760,60.67
K1081+780,60.41
K1081+800,60.165
K1081+820,59.925
K1081+840,59.665
K1081+860,59.44
K1081+880,59.18
K1081+900,58.935
K1081+920,58.69
K1081+940,58.43
K1081+960,58.205
K1081+980,57.96
K1082+000,57.715
K1082+020,57.465
K1082+040,57.205
K1082+060,56.96
K1082+080,56.715
K1082+100,56.455
K1082+120,56.215
K1082+140,55.98
K1082+160,55.74
K1082+180,55.49
K1082+200,55.26
